id,Название сериала,Дата создания
928123,La Reina del Sur,"Feb 28, 2011"
928123,Chucky,"Oct 12, 2021"
928123,House of the Dragon,"Aug 21, 2022"
928123,Lisa,"Jan 25, 2021"
928123,The Peripheral,"Oct 20, 2022"
928123,Poliana Moça,"Mar 21, 2022"
928123,Chainsaw Man,"Oct 12, 2022"
928123,Cara e Coragem,"May 30, 2022"
928123,The Lord of the Rings: The Rings of Power,"Sep 01, 2022"
928123,Dahmer – Monster: The Jeffrey Dahmer Story,"Sep 21, 2022"
928123,Euronews Hoy,"Jan 28, 2019"
928123,Now what,"Sep 26, 2022"
928123,The Walking Dead,"Oct 31, 2010"
928123,Hoàng Hạc Lâu,"Oct 16, 2022"
928123,Les cinquante,"Sep 05, 2022"
928123,Haireta mou ton Platano,"Oct 12, 2020"
928123,Mar do Sertão,"Aug 22, 2022"
928123,Een Jaar Van Je Leven,"Sep 05, 2022"
928123,Sangue Oculto,"Sep 19, 2022"
928123,Takdir Cinta Dhia,"Sep 12, 2022"
